Quartal;HPI
2010 Q1;97,06
2010 Q2;99,85
2010 Q3;101,12
2010 Q4;101,96
2011 Q1;102,11
2011 Q2;105,11
2011 Q3;106,81
2011 Q4;107,41
2012 Q1;110,32
2012 Q2;110,5
2012 Q3;114,72
2012 Q4;113,81
2013 Q1;115,18
2013 Q2;119,3
2013 Q3;118,71
2013 Q4;118,56
2014 Q1;120,13
2014 Q2;122,02
2014 Q3;123,28
2014 Q4;124,33
2015 Q1;126,98
2015 Q2;129,29
2015 Q3;130,92
2015 Q4;130,12
2016 Q1;134,55
2016 Q2;137,99
2016 Q3;139,77
2016 Q4;139,67
2017 Q1;141,94
2017 Q2;145,44
2017 Q3;147,01
2017 Q4;145,68
2018 Q1;148,89
2018 Q2;153,82
2018 Q3;155,32
2018 Q4;156,68
2019 Q1;157,17
2019 Q2;162,67
2019 Q3;165,29
2019 Q4;166,49
2020 Q1;169,76
2020 Q2;173,41
2020 Q3;178,46
2020 Q4;179,38
2021 Q1;186,33
2021 Q2;192,85
2021 Q3;198,54
2021 Q4;203,48
2022 Q1;212,91
2022 Q2;219,11
2022 Q3;224,49
2022 Q4;215,1
2023 Q1;212,54
2023 Q2;212,97
2023 Q3;212,47
2023 Q4;208,72
2024 Q1;206,32
2024 Q2;212,53
2024 Q3;213,56
2024 Q4;211,09
2025 Q1;213,6
2025 Q2;217,06
